Title	Description
수학이 좋아요	"... 공식을 알아두면은 평생 써먹을 수 있죠. 무척 효율적입니다. 이러한 효율성, 명쾌함, 딱 떨어지는 해답이 존재한다. 이런 점들이 수학의 매력이고 그 매력에 끌리면은 수학을 좋아하게 되는 것입니다. "
수학 좋아요	수학 좋아요  수학은 어려운 문제를 풀었는데 정답이면 그 쾌감이 좋긴 하죠~ 그래도 수학은 개념을 확실하게 잡아야 하는 과목 이니까 천천히 이해를 해가며 학습을 하시면 좋습니다
수학이 좋아요	수학이 좋은데 문제가머냐면 수학을 좋아하는거때문에 다른과목이 너무 재미가없어졌어요 어떡하죠 흑흑 진짜로 하..ㅠㅠ 국어 한국사 이런과목들이 너무 싫어요 에휴  수학은 수리 논리를 물어보고 언어(국어)는 언어 논리를 물어보죠.... 
중1 영어공부...수능식으로...수학영어 다있으면 좋아요... 	... 영어는 빅3 못들어 갈 실력인 거 같으면 해빛나인이나 조금 이르겐 kns 초등관 도 나쁘지 않은 선택인 듯 합니다. 대치최선이나 함영원 선경도 내신으로 유명해요 중1까진 뭐 깊은생각 파인만 다원교육 수학의 힘 미래탐구 다 좋아요....
일산 후곡 수학학원 어디가 좋아요'?	이제 고등학교 올라가는 예비고1 입니다 후곡수학학원... 고등학교 수학 내신 잘 볼 수 있도록 잘 가르쳐주는... 이전 수학학원 다니면서 많이 힘들었는데 진짜 끝까지 잘... 저 공부 정말 잘하고 싶어요 ㅠㅠㅠㅠ 일산후곡수학학원... 
우공비 수학 좋아요??	"우공비 수학 좋아요?? 아 그리고 우공비 수학 과정이 뭐뭐 있나요?? 개념원리가 좋구요... 수학의정석,개념원리 추천합니다. "
입시미술하려는데 수학이 좋아요	... 그 한 분야에 모든 걸 투자해서 하는 경우가 대다수니까요 근데 수학이 재밌으면 하는거죠 시간낭비를 해서라도요 사람들이 게임 시간낭비라고 안하나요 다 하죠 현실이고 뭐고 본인이 좋아하는 길을 따라서 가는 게 좋다고 생각합니다 
남양주 기숙학원에 수학 좋아요??	... 수학이 조금은 약해요. 그래서 남양주 기숙학원을 알아보는 첫번째로 수학질문 잘받아주는 학원을 찾아요. 이관데 기초는 되는거 같은데....수학이 잘 안되요ㅜ 남양주... 남양주 기숙학원에 수학 쌤 추천해주세요. 그리고 그 학원에서... 
폴수학! 좋아요?	고2구요 문과생이에요 수학을 못하는데요 개념이없고 단순계산도 잘 틀리고 내신이랑 모의고사 둘 다 성적안좋아요 과외를 하고있는데 워낙 공통수학 부분도 못하니까 좀 힘들거든요 숙제할때도 단순개념에서 막히고.. 수학포기할까... 
개념 잡기로 체크체크 수학 좋아요??	... 어려운 문제가 나오면 시도도 하지 않는 편이라 개념이라도 잘 잡아야 할 것 같아요 ㅜㅜ 수학에 대한 자신감도... 체크체크 수학 문제집을 이용하면 개념과 반복 학습으로 기본기를 잘 잡을 수 있습니다. 교재는 진도 교재와 개념... 
